,text,Numbers_of_product,Negative,Null,Positive,Excellent
0,"['this', 'would', 'be', 'a', 'great', 'mouse', 'if', 'it', 'didnt', 'have', 'numerous', 'bright', 'leds', 'that', 'constantly', 'flash', 'and', 'generally', 'annoy', 'me', 'for', 'no', 'reason']",1,0,0,1,0
1,"['this', 'item', 'it', 'put', 'together', 'well', 'but', 'the', 'ball', 'only', 'lasts', 'for', 'about', '3', 'to', '6', 'months', 'before', 'it', 'stops', 'functioning', 'properly']",1,0,1,0,0
2,"['i', 'bought', 'two', 'of', 'these', 'cards', 'for', 'two', 'different', 'computers', 'and', 'both', 'were', 'damaged', 'the', 'quality', 'of', 'these', 'cards', 'is', 'not', 'good']",2,0,0,1,0
3,"['this', 'cable', '16', 'and', 'price', 'tell', 'you', 'what', 'you', 'buying', 'trust', 'me', 'i', 'use', 'this', 'cable', '1', 'day', 'and', 'its', 'brook']",1,0,1,0,0
4,"['it', 'did', 'not', 'work', 'on', 'my', '2012', 'tundra', 'and', 'clarion', 'nx702', 'i', 'tried', 'all', 'setting', 'reprogramming', 'with', 'no', 'luck']",1,0,1,0,0
5,"['never', 'had', 'the', 'experience', 'to', 'fully', 'enjoy', 'the', 'machinei', 'seen', 'alot', 'of', 'great', 'reviews', 'but', 'i', 'didnt', 'get', 'the', 'chance', 'to', 'experience']",2,0,0,1,0
6,"['item', 'does', 'not', 'workmy', 'older', 'lcd', 'tv', 'has', 'only', 'one', 'hdmi', 'inputi', 'tried', 'the', 'auto', 'switch', 'no', 'video', 'or', 'audio']",1,0,1,0,0
7,"['i', 'bought', 'this', 'to', 'use', 'with', 'my', '2011', 'imac', 'it', 'would', 'not', 'keep', 'connected', 'to', 'the', 'bluetooth', 'i', 'returned', 'it', 'with', 'no', 'problems']",1,0,1,0,0
8,"['every', 'one', 'i', 'tried', 'were', 'coasters', 'will', 'not', 'buy', 'again', 'i', 'do', 'not', 'recommend', 'these', 'do', 'not', 'buy', 'them', 'i', 'bought', 'the', 'ridata']",1,0,1,0,0
9,"['they', 'cant', 'be', 'bothered', 'to', 'include', 'good', 'wall', 'anchors', 'so', 'just', 'imagine', 'what', 'junk', 'the', 'rest', 'of', 'the', 'mount', 'is']",1,0,0,1,0
10,"['you', 'get', 'what', 'you', 'pay', 'for', 'with', 'this', 'being', 'extremely', 'fragile', 'i', 'broke', 'this', 'one', 'within', 'a', 'week', 'of', 'receiving']",1,0,1,0,0
11,"['item', 'doesnt', 'work', 'at', 'all', 'it', 'was', 'dead', 'on', 'arrival', 'i', 'suggest', 'you', 'not', 'waste', 'your', 'time', 'and', 'money', 'with', 'this', 'seller']",1,0,1,0,0
12,"['i', 'bought', 'this', 'adapter', 'to', 'attach', 'to', 'an', 'fm', 'modulator', 'for', 'my', 'ipod', 'no', 'sound', 'came', 'out', 'of', 'the', 'left', 'speakers', 'in', 'my', 'car']",1,0,1,0,0
13,"['is', 'not', 'working', 'im', 'seating', 'only', '4', 'feet', 'from', 'my', 'laptop', 'or', 'tv', 'and', 'not', 'working', 'i', 'tried', 'many', 'ways', 'and', 'nothing']",1,0,1,0,0
14,"['if', 'you', 'cant', 'charge', 'through', 'the', 'keyboard', 'you', 'must', 'then', 'detach', 'and', 'charge', 'the', 'tablet', 'thats', 'a', 'killer', 'for', 'me']",1,0,1,0,0
15,"['the', 'rubber', 'part', 'is', 'very', 'flimsy', 'and', 'degrades', 'quite', 'fast', 'you', 'are', 'good', 'off', 'having', 'your', 'bold', '9900', 'naked', 'dont', 'buy']",1,0,1,0,0
16,"['quality', 'is', 'sub', 'par', 'at', 'good', 'cables', 'do', 'not', 'fit', 'well', 'and', 'post', 'clamp', 'comes', 'loose', 'with', 'little', 'effort', 'look', 'elsewhere']",2,0,0,1,0
17,"['couldnt', 'get', 'the', 'arduino', 'ide', 'to', 'recognize', 'the', 'device', 'picked', 'up', 'the', 'pololu', 'isp', 'instead', 'works', 'great', 'with', 'my', 'custom', 'pcbs']",1,0,1,0,0
18,"['device', 'will', 'not', 'hold', 'its', 'battery', 'properly', 'so', 'the', 'device', 'wont', 'charge', 'also', 'very', 'uncomfortable', 'to', 'hold', 'in', 'the', 'hand']",1,0,1,0,0
19,"['was', 'not', 'able', 'to', 'use', 'this', 'as', 'intended', 'it', 'just', 'doesnt', 'share', 'usb', 'connections', 'save', 'your', 'money', 'do', 'not', 'recommend']",1,0,1,0,0
20,"['i', 'hate', 'it', 'i', 'hate', 'it', 'i', 'hate', 'it', 'never', 'buying', 'from', 'this', 'guys', 'again', 'no', 'way', 'no', 'way', 'ok']",1,0,1,0,0
21,"['a', 'cheap', 'way', 'of', 'trying', 'to', 'take', 'macro', 'photos', 'i', 'tried', 'it', 'not', 'impressed', 'so', 'i', 'threw', 'it', 'away']",1,0,1,0,0
